"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position Group";"Minutes";"Minutes BIP";"Minutes TIP";"Minutes OTIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Distance TIP";"M/min TIP";"Running Distance TIP";"HSR Distance TIP";"HSR Count TIP";"Sprint Distance TIP";"Sprint Count TIP";"HI Distance TIP";"HI Count TIP";"Medium Acceleration Count TIP";"High Acceleration Count TIP";"Medium Deceleration Count TIP";"High Deceleration Count TIP";"Explosive Acceleration to HSR Count TIP";"Explosive Acceleration to Sprint Count TIP";"Change of Direction Count TIP";"Distance OTIP";"M/min OTIP";"Running Distance OTIP";"HSR Distance OTIP";"HSR Count OTIP";"Sprint Distance OTIP";"Sprint Count OTIP";"HI Distance OTIP";"HI Count OTIP";"Medium Acceleration Count OTIP";"High Acceleration Count OTIP";"Medium Deceleration Count OTIP";"High Deceleration Count OTIP";"Explosive Acceleration to HSR Count OTIP";"Explosive Acceleration to Sprint Count OTIP";"Change of Direction Count OTIP";"Distance TIP P30TIP";"M/min TIP P30TIP";"Running Distance TIP P30TIP";"HSR Distance TIP P30TIP";"HSR Count TIP P30TIP";"Sprint Distance TIP P30TIP";"Sprint Count TIP P30TIP";"HI Distance TIP P30TIP";"HI Count TIP P30TIP";"Medium Acceleration Count TIP P30TIP";"High Acceleration Count TIP P30TIP";"Medium Deceleration Count TIP P30TIP";"High Deceleration Count TIP P30TIP";"Explosive Acceleration to HSR Count TIP P30TIP";"Explosive Acceleration to Sprint Count TIP P30TIP";"Change of Direction Count TIP P30TIP";"Distance OTIP P30OTIP";"M/min OTIP P30OTIP";"Running Distance OTIP P30OTIP";"HSR Distance OTIP P30OTIP";"HSR Count OTIP P30OTIP";"Sprint Distance OTIP P30OTIP";"Sprint Count OTIP P30OTIP";"HI Distance OTIP P30OTIP";"HI Count OTIP P30OTIP";"Medium Acceleration Count OTIP P30OTIP";"High Acceleration Count OTIP P30OTIP";"Medium Deceleration Count OTIP P30OTIP";"High Deceleration Count OTIP P30OTIP";"Explosive Acceleration to HSR Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count OTIP P30OTIP";"Change of Direction Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Change of Direction Count P60BIP"
"Adama Noss Traoré";"A. Traoré";"219";"1995-06-28";"Amed Sportif Faliyetler";"3831";"TUR - 1. Lig";"120";"2025/2026";"129";"Midfield";"78,57";"40,86";"20,8";"20,06";"21";"0";"8559,86";"108,95";"1167,76";"297,71";"27,43";"44,0";"2,62";"341,71";"30,05";"26,1";"28,08";"84,38";"2,67";"74,1";"9,52";"1,57";"0,67";"0,7";"0,19";"1,65";"1,7";"25,24";"2,02";"2,72";"9805,42";"108,95";"1337,69";"341,04";"31,42";"50,4";"3,0";"391,44";"34,42";"96,66";"3,05";"84,88";"10,91";"1,8";"0,22";"28,91";"8844,18";"147,4";"1583,07";"409,04";"36,92";"59,36";"2,45";"468,4";"39,37";"92,85";"2,17";"71,18";"9,44";"2956,86";"142,12";"431,19";"91,71";"8,48";"11,0";"0,48";"102,71";"8,95";"25,95";"0,67";"20,52";"2,57";"0,29";"0,05";"8,95";"3066,43";"152,88";"646,95";"186,86";"16,67";"29,43";"1,19";"216,29";"17,86";"37,29";"0,81";"27,95";"3,86";"0,52";"0,0";"14,62";"4263,72";"142,12";"621,77";"132,25";"12,22";"15,86";"0,69";"148,11";"12,91";"37,42";"0,96";"29,59";"3,71";"0,41";"0,07";"12,91";"4586,36";"152,88";"967,63";"279,48";"24,93";"44,02";"1,78";"323,49";"26,71";"55,77";"1,21";"41,81";"5,77";"0,78";"0,0";"21,87";"0,07";"1,19";"34,61"
"Adama Noss Traoré";"A. Traoré";"219";"1995-06-28";"Amed Sportif Faliyetler";"3831";"TUR - 1. Lig";"120";"2025/2026";"129";"Wide Attacker";"59,4";"33,69";"18,15";"15,54";"3";"1";"6491,67";"109,29";"894,33";"301,67";"30,67";"57,0";"3,67";"358,67";"34,33";"26,8";"26,8";"66,0";"3,33";"57,67";"11,33";"2,0";"null";"null";"0,33";"null";"null";"21,33";"2,29";"2,9";"9835,86";"109,29";"1355,05";"457,07";"46,46";"86,36";"5,56";"543,43";"52,02";"100,0";"5,05";"87,37";"17,17";"3,03";"0,51";"32,32";"8361,02";"139,35";"1486,89";"519,37";"51,64";"90,82";"5,34";"610,19";"56,98";"94,97";"4,15";"70,63";"10,68";"2483,0";"136,8";"382,33";"130,67";"13,33";"5,0";"0,67";"135,67";"14,0";"28,33";"1,67";"20,0";"2,0";"0,67";"0,0";"11,0";"2212,33";"142,32";"452,67";"161,0";"15,67";"46,0";"2,33";"207,0";"18,0";"25,0";"0,67";"19,67";"4,0";"0,67";"0,0";"9,0";"4104,13";"136,8";"631,96";"215,98";"22,04";"8,26";"1,1";"224,24";"23,14";"46,83";"2,75";"33,06";"3,31";"1,1";"0,0";"18,18";"4269,69";"142,32";"873,62";"310,72";"30,24";"88,78";"4,5";"399,5";"34,74";"48,25";"1,29";"37,96";"7,72";"1,29";"0,0";"17,37";"0,0";"2,37";"35,61"
"Adrien Regattin";"A. Regattin";"279";"1991-08-22";"Sarıyer SK";"5127";"TUR - 1. Lig";"120";"2025/2026";"129";"Midfield";"85,12";"48,61";"23,52";"25,09";"10";"1";"9955,1";"116,95";"1567,8";"461,5";"40,2";"68,4";"4,1";"529,9";"44,3";"26,07";"26,94";"101,8";"2,8";"93,9";"10,0";"1,7";"0,78";"0,85";"0,1";"null";"null";"31,0";"2,04";"2,94";"10525,63";"116,95";"1657,65";"487,95";"42,5";"72,32";"4,33";"560,27";"46,84";"107,63";"2,96";"99,28";"10,57";"1,8";"0,11";"32,78";"9022,34";"150,37";"1774,57";"537,33";"46,17";"78,26";"3,95";"615,59";"50,12";"95,91";"1,85";"78,51";"7,65";"3449,4";"146,69";"684,4";"214,4";"17,8";"27,7";"1,4";"242,1";"19,2";"35,7";"0,8";"26,4";"2,8";"0,4";"0,0";"12,5";"3859,7";"153,82";"753,2";"220,9";"19,6";"35,7";"1,8";"256,6";"21,4";"42,0";"0,7";"37,2";"3,4";"0,5";"0,0";"16,3";"4400,68";"146,69";"873,14";"273,53";"22,71";"35,34";"1,79";"308,87";"24,5";"45,55";"1,02";"33,68";"3,57";"0,51";"0,0";"15,95";"4614,72";"153,82";"900,54";"264,11";"23,43";"42,68";"2,15";"306,8";"25,59";"50,22";"0,84";"44,48";"4,07";"0,6";"0,0";"19,49";"0,0";"1,11";"35,55"
"Adrien Regattin";"A. Regattin";"279";"1991-08-22";"Sarıyer SK";"5127";"TUR - 1. Lig";"120";"2025/2026";"129";"Wide Attacker";"86,54";"43,26";"23,14";"20,12";"5";"0";"9127,0";"105,47";"1322,6";"462,0";"44,4";"82,2";"5,0";"544,2";"49,4";"26,54";"26,54";"91,6";"4,6";"78,0";"13,2";"3,2";"0,74";"0,8";"1,8";"1,63";"null";"36,0";"2,16";"2,89";"9492,28";"105,47";"1375,53";"480,49";"46,18";"85,49";"5,2";"565,98";"51,38";"95,27";"4,78";"81,12";"13,73";"3,33";"1,87";"37,44";"8509,85";"141,83";"1616,92";"584,47";"54,65";"107,35";"5,83";"691,82";"60,47";"92,65";"4,44";"68,79";"10,82";"3301,4";"142,67";"659,0";"228,0";"20,8";"39,6";"2,2";"267,6";"23,0";"38,6";"1,8";"24,8";"4,0";"1,4";"0,8";"19,0";"2834,2";"140,86";"506,8";"193,4";"18,6";"37,8";"2,0";"231,2";"20,6";"28,2";"1,4";"24,8";"3,8";"1,0";"0,4";"13,4";"4280,12";"142,67";"854,36";"295,59";"26,97";"51,34";"2,85";"346,93";"29,82";"50,04";"2,33";"32,15";"5,19";"1,82";"1,04";"24,63";"4225,94";"140,86";"755,67";"288,37";"27,73";"56,36";"2,98";"344,73";"30,72";"42,05";"2,09";"36,98";"5,67";"1,49";"0,6";"19,98";"1,66";"3,33";"44,94"
"Alim Öztürk";"A. Öztürk";"605";"1992-11-17";"Iğdır Spor Kulubu AS";"3825";"TUR - 1. Lig";"120";"2025/2026";"129";"Central Defender";"92,78";"47,93";"26,6";"21,33";"24";"0";"8767,04";"94,5";"868,04";"284,29";"26,54";"70,88";"4,21";"355,17";"30,75";"27,68";"29,9";"103,0";"4,5";"78,58";"11,38";"2,83";"0,77";"0,77";"0,67";"1,56";"1,59";"14,29";"1,91";"2,95";"8504,68";"94,5";"842,07";"275,78";"25,75";"68,75";"4,08";"344,54";"29,83";"99,92";"4,37";"76,23";"11,03";"2,75";"0,65";"13,86";"7321,89";"122,03";"891,46";"312,78";"28,32";"81,68";"3,49";"394,46";"31,82";"88,87";"4,02";"62,07";"6,94";"3032,04";"113,99";"271,88";"52,25";"5,92";"11,58";"0,38";"63,83";"6,29";"31,83";"1,42";"23,58";"2,29";"0,46";"0,0";"3,17";"2817,25";"132,05";"440,29";"197,62";"16,71";"53,67";"2,42";"251,29";"19,12";"39,17";"1,79";"26,0";"3,25";"1,08";"0,33";"9,42";"3419,77";"113,99";"306,64";"58,93";"6,67";"13,06";"0,42";"72,0";"7,1";"35,9";"1,6";"26,6";"2,58";"0,52";"0,0";"3,57";"3961,63";"132,05";"619,14";"277,9";"23,5";"75,47";"3,4";"353,37";"26,89";"55,08";"2,52";"36,56";"4,57";"1,52";"0,47";"13,24";"0,42";"1,93";"15,75"
"Amilton Minervino da Silva";"Amilton";"668";"1989-08-12";"Esenler Erokspor";"3729";"TUR - 1. Lig";"120";"2025/2026";"129";"Wide Attacker";"92,11";"48,58";"28,17";"20,41";"34";"1";"9008,85";"97,81";"953,71";"482,26";"57,41";"303,85";"15,18";"786,12";"72,59";"31,17";"32,88";"90,26";"8,24";"71,82";"19,79";"6,56";"0,57";"0,59";"3,15";"1,09";"1,21";"35,47";"1,85";"2,67";"8802,78";"97,81";"931,89";"471,23";"56,1";"296,9";"14,83";"768,14";"70,93";"88,2";"8,05";"70,18";"19,34";"6,41";"3,08";"34,66";"7411,44";"123,52";"1026,84";"543,55";"62,44";"339,05";"16,13";"882,6";"78,57";"82,64";"7,16";"54,78";"13,55";"3459,59";"122,8";"496,29";"289,74";"33,21";"202,38";"9,62";"492,12";"42,82";"40,68";"4,0";"25,29";"6,06";"3,12";"1,62";"21,18";"2541,5";"124,53";"335,15";"150,38";"17,35";"72,15";"3,44";"222,53";"20,79";"26,24";"1,79";"19,06";"4,91";"1,38";"0,59";"11,32";"3683,94";"122,8";"528,48";"308,52";"35,36";"215,51";"10,24";"524,03";"45,6";"43,31";"4,26";"26,93";"6,45";"3,32";"1,72";"22,55";"3735,79";"124,53";"492,64";"221,05";"25,51";"106,05";"5,06";"327,1";"30,57";"38,56";"2,64";"28,01";"7,22";"2,03";"0,86";"16,64";"2,72";"5,56";"40,14"
"Arlind Ajeti";"A. Ajeti";"1035";"1993-09-25";"Bodrum Belediyesi Bodrumspor";"2719";"TUR - 1. Lig";"120";"2025/2026";"129";"Central Defender";"97,66";"49,01";"24,1";"24,91";"31";"0";"8757,42";"89,67";"910,48";"315,48";"29,61";"82,45";"4,61";"397,94";"34,23";"28,09";"30,8";"98,87";"5,61";"75,94";"10,16";"3,29";"0,63";"0,71";"1,06";"1,21";"1,38";"17,74";"1,93";"2,86";"8070,38";"89,67";"839,05";"290,73";"27,29";"75,98";"4,25";"366,72";"31,54";"91,11";"5,17";"69,98";"9,36";"3,03";"0,98";"16,35";"7103,96";"118,4";"917,93";"340,2";"31,08";"89,36";"3,91";"429,56";"34,99";"86,21";"4,58";"60,54";"7,15";"2681,65";"111,25";"261,94";"61,97";"6,06";"16,03";"0,58";"78,0";"6,65";"25,71";"1,65";"20,29";"2,23";"0,61";"0,06";"3,74";"3121,45";"125,31";"487,9";"215,94";"19,32";"56,97";"2,61";"272,9";"21,94";"44,71";"2,1";"29,16";"3,61";"1,32";"0,52";"12,19";"3337,63";"111,25";"326,01";"77,13";"7,55";"19,95";"0,72";"97,08";"8,27";"32,0";"2,05";"25,25";"2,77";"0,76";"0,08";"4,66";"3759,41";"125,31";"587,62";"260,07";"23,27";"68,61";"3,15";"328,68";"26,42";"53,85";"2,53";"35,12";"4,35";"1,59";"0,62";"14,69";"0,71";"2,37";"19,51"
"Armando Sadiku";"A. Sadiku";"1038";"1991-05-27";"AC Bellinzona";"291";"SUI - Challenge League";"122";"2025/2026";"129";"Center Forward";"87,32";"49,23";"21,17";"28,06";"18";"1";"9371,5";"107,32";"1250,83";"456,22";"40,11";"71,44";"4,33";"527,67";"44,44";"26,79";"28,5";"97,28";"7,33";"79,17";"13,33";"3,5";"0,7";"0,8";"0,56";"1,55";"1,74";"31,06";"1,85";"2,88";"9658,78";"107,32";"1289,18";"470,21";"41,34";"73,63";"4,47";"543,84";"45,81";"100,26";"7,56";"81,59";"13,74";"3,61";"0,57";"32,01";"8190,26";"136,5";"1354,81";"516,36";"44,49";"79,02";"4,33";"595,37";"48,82";"86,67";"5,55";"65,14";"10,09";"2893,28";"136,67";"506,11";"221,06";"18,56";"37,56";"2,06";"258,61";"20,61";"36,28";"2,56";"22,83";"3,94";"1,44";"0,22";"12,61";"3826,78";"136,38";"605,5";"202,61";"17,94";"27,28";"1,5";"229,89";"19,44";"34,83";"2,0";"30,61";"4,33";"0,83";"0,17";"15,72";"4099,99";"136,67";"717,2";"313,25";"26,29";"53,22";"2,91";"366,47";"29,21";"51,41";"3,62";"32,36";"5,59";"2,05";"0,31";"17,87";"4091,46";"136,38";"647,38";"216,62";"19,19";"29,16";"1,6";"245,79";"20,79";"37,24";"2,14";"32,73";"4,63";"0,89";"0,18";"16,81";"0,47";"2,78";"34,53"
"Bangaly-Fodé Koita";"F. Koita";"1263";"1990-10-21";"Iğdır Spor Kulubu AS";"3825";"TUR - 1. Lig";"120";"2025/2026";"129";"Center Forward";"69,76";"36,47";"18,4";"18,07";"12";"0";"6468,42";"92,72";"737,92";"266,08";"28,58";"78,0";"3,83";"344,08";"32,42";"28,75";"30,66";"71,17";"5,83";"57,92";"12,0";"3,42";"0,66";"0,83";"1,5";"1,17";"null";"16,92";"2,23";"2,98";"8344,68";"92,72";"951,96";"343,26";"36,87";"100,63";"4,95";"443,89";"41,82";"91,81";"7,53";"74,72";"15,48";"4,41";"1,94";"21,82";"7166,27";"119,44";"1076,61";"403,75";"40,85";"114,48";"4,94";"518,22";"45,79";"80,2";"6,44";"59,91";"10,69";"2305,67";"125,3";"388,67";"169,33";"16,17";"54,75";"2,17";"224,08";"18,33";"30,42";"2,33";"19,67";"3,5";"1,5";"0,92";"10,67";"2050,33";"113,47";"265,75";"76,08";"8,67";"14,83";"0,83";"90,92";"9,5";"18,33";"1,58";"16,75";"3,0";"0,67";"0,08";"4,75";"3758,96";"125,3";"633,65";"276,07";"26,36";"89,26";"3,53";"365,33";"29,89";"49,59";"3,8";"32,06";"5,71";"2,45";"1,49";"17,39";"3404,09";"113,47";"441,21";"126,32";"14,39";"24,63";"1,38";"150,95";"15,77";"30,44";"2,63";"27,81";"4,98";"1,11";"0,14";"7,89";"1,65";"3,56";"25,36"
"Birama Touré";"B. Touré";"1351";"1992-06-06";"Manisa Büyükşehir Belediyespor Kulübü";"2722";"TUR - 1. Lig";"120";"2025/2026";"129";"Midfield";"89,17";"45,74";"20,61";"25,13";"22";"0";"9955,14";"111,64";"1287,23";"409,59";"37,86";"89,05";"4,5";"498,64";"42,36";"27,42";"29,46";"98,18";"4,0";"85,09";"11,23";"2,5";"0,66";"0,75";"0,23";"1,65";"null";"26,36";"2,02";"2,79";"10047,24";"111,64";"1299,14";"413,38";"38,21";"89,87";"4,54";"503,25";"42,76";"99,09";"4,04";"85,88";"11,33";"2,52";"0,23";"26,61";"8930,48";"148,84";"1523,05";"498,56";"45,19";"109,53";"4,05";"608,09";"49,25";"93,31";"3,28";"70,83";"9,0";"2855,05";"138,51";"354,68";"69,82";"7,41";"15,14";"0,32";"84,95";"7,73";"26,45";"1,09";"21,05";"2,05";"0,41";"0,05";"6,05";"3953,32";"157,31";"806,45";"310,27";"27,05";"68,36";"2,77";"378,64";"29,82";"44,68";"1,41";"32,95";"4,82";"1,0";"0,09";"18,45";"4155,39";"138,51";"516,22";"101,62";"10,78";"22,03";"0,46";"123,65";"11,25";"38,5";"1,59";"30,63";"2,98";"0,6";"0,07";"8,8";"4719,38";"157,31";"962,73";"370,4";"32,29";"81,61";"3,31";"452,01";"35,6";"53,34";"1,68";"39,34";"5,75";"1,19";"0,11";"22,03";"0,18";"1,85";"32,14"
