"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position Group";"Minutes";"Minutes BIP";"Minutes TIP";"Minutes OTIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Distance TIP";"M/min TIP";"Running Distance TIP";"HSR Distance TIP";"HSR Count TIP";"Sprint Distance TIP";"Sprint Count TIP";"HI Distance TIP";"HI Count TIP";"Medium Acceleration Count TIP";"High Acceleration Count TIP";"Medium Deceleration Count TIP";"High Deceleration Count TIP";"Explosive Acceleration to HSR Count TIP";"Explosive Acceleration to Sprint Count TIP";"Change of Direction Count TIP";"Distance OTIP";"M/min OTIP";"Running Distance OTIP";"HSR Distance OTIP";"HSR Count OTIP";"Sprint Distance OTIP";"Sprint Count OTIP";"HI Distance OTIP";"HI Count OTIP";"Medium Acceleration Count OTIP";"High Acceleration Count OTIP";"Medium Deceleration Count OTIP";"High Deceleration Count OTIP";"Explosive Acceleration to HSR Count OTIP";"Explosive Acceleration to Sprint Count OTIP";"Change of Direction Count OTIP";"Distance TIP P30TIP";"M/min TIP P30TIP";"Running Distance TIP P30TIP";"HSR Distance TIP P30TIP";"HSR Count TIP P30TIP";"Sprint Distance TIP P30TIP";"Sprint Count TIP P30TIP";"HI Distance TIP P30TIP";"HI Count TIP P30TIP";"Medium Acceleration Count TIP P30TIP";"High Acceleration Count TIP P30TIP";"Medium Deceleration Count TIP P30TIP";"High Deceleration Count TIP P30TIP";"Explosive Acceleration to HSR Count TIP P30TIP";"Explosive Acceleration to Sprint Count TIP P30TIP";"Change of Direction Count TIP P30TIP";"Distance OTIP P30OTIP";"M/min OTIP P30OTIP";"Running Distance OTIP P30OTIP";"HSR Distance OTIP P30OTIP";"HSR Count OTIP P30OTIP";"Sprint Distance OTIP P30OTIP";"Sprint Count OTIP P30OTIP";"HI Distance OTIP P30OTIP";"HI Count OTIP P30OTIP";"Medium Acceleration Count OTIP P30OTIP";"High Acceleration Count OTIP P30OTIP";"Medium Deceleration Count OTIP P30OTIP";"High Deceleration Count OTIP P30OTIP";"Explosive Acceleration to HSR Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count OTIP P30OTIP";"Change of Direction Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Change of Direction Count P60BIP"
"Albin Ekdal";"A. Ekdal";"392";"1989-07-28";"Djurgardens IF";"522";"SWE - Allsvenskan";"90";"2025/2025";"128";"Midfield";"49,92";"27,01";"12,71";"14,29";"9";"0";"5961,0";"119,41";"1025,56";"271,56";"22,89";"38,78";"2,33";"310,33";"25,22";"26,04";"26,84";"59,67";"2,67";"49,44";"8,56";"1,44";"0,83";"0,86";"0,33";"1,62";"null";"20,22";"2,17";"2,84";"10747,31";"119,41";"1849,01";"489,6";"41,27";"69,91";"4,21";"559,51";"45,47";"107,58";"4,81";"89,15";"15,43";"2,6";"0,6";"36,46";"9588,48";"159,81";"2124,36";"576,63";"45,17";"78,5";"3,7";"655,13";"48,88";"89,85";"4,2";"68,38";"9,87";"1972,78";"155,16";"372,67";"67,56";"6,44";"11,22";"0,44";"78,78";"6,89";"16,67";"0,89";"12,44";"1,44";"0,11";"0,0";"6,67";"2343,22";"163,95";"583,56";"192,0";"13,89";"24,11";"1,22";"216,11";"15,11";"23,78";"1,0";"18,33";"3,0";"0,67";"0,22";"11,89";"4654,68";"155,16";"879,29";"159,39";"15,21";"26,48";"1,05";"185,87";"16,25";"39,32";"2,1";"29,36";"3,41";"0,26";"0,0";"15,73";"4918,4";"163,95";"1224,88";"403,01";"29,15";"50,61";"2,57";"453,61";"31,72";"49,91";"2,1";"38,48";"6,3";"1,4";"0,47";"24,95";"0,49";"1,73";"41,22"
"Alexander Fransson";"A. Fransson";"531";"1994-04-02";"IFK Norrköping";"1484";"SWE - Allsvenskan";"90";"2025/2025";"128";"Midfield";"78,15";"41,43";"18,78";"22,65";"21";"0";"9251,43";"118,37";"1579,1";"546,95";"41,33";"90,29";"5,14";"637,24";"46,48";"27,02";"29,22";"97,24";"3,81";"84,05";"11,95";"2,62";"0,62";"0,65";"0,52";"1,51";"1,51";"29,48";"1,97";"2,74";"10653,7";"118,37";"1818,44";"629,86";"47,6";"103,97";"5,92";"733,83";"53,52";"111,98";"4,39";"96,79";"13,76";"3,02";"0,6";"33,94";"9539,26";"158,99";"2090,01";"743,55";"54,83";"121,18";"5,52";"864,72";"60,35";"101,93";"3,31";"77,31";"10,9";"2755,33";"146,72";"493,05";"111,24";"9,29";"17,43";"0,81";"128,67";"10,1";"23,71";"0,86";"19,0";"2,19";"0,48";"0,05";"7,24";"3831,05";"169,16";"950,0";"402,14";"28,57";"66,24";"3,0";"468,38";"31,57";"46,67";"1,43";"34,38";"5,33";"0,81";"0,19";"20,38";"4401,45";"146,72";"787,61";"177,7";"14,83";"27,84";"1,29";"205,54";"16,13";"37,88";"1,37";"30,35";"3,5";"0,76";"0,08";"11,56";"5074,95";"169,16";"1258,45";"532,71";"37,85";"87,74";"3,97";"620,46";"41,82";"61,82";"1,89";"45,54";"7,07";"1,07";"0,25";"27,0";"0,34";"1,86";"40,0"
"Anders Bleg Christiansen";"A. Christiansen";"691";"1990-06-08";"Malmo FF";"426";"SWE - Allsvenskan";"90";"2025/2025";"128";"Center Forward";"56,19";"29,41";"16,53";"12,88";"3";"0";"6647,67";"118,31";"1077,33";"371,33";"30,0";"89,0";"4,67";"460,33";"34,67";"28,0";"28,0";"72,0";"4,67";"57,0";"9,33";"4,0";"0,91";"null";"0,33";"null";"null";"29,0";"2,4";"3,18";"10647,83";"118,31";"1725,61";"594,78";"48,05";"142,55";"7,47";"737,33";"55,53";"115,33";"7,47";"91,3";"14,95";"6,41";"0,53";"46,45";"9555,57";"159,26";"1984,96";"701,1";"57,8";"167,28";"6,8";"868,38";"64,6";"102,0";"6,12";"74,8";"11,56";"2599,0";"157,2";"551,0";"174,33";"15,0";"58,67";"2,33";"233,0";"17,33";"29,67";"1,67";"21,0";"2,67";"1,33";"0,0";"13,33";"2085,0";"161,91";"422,0";"169,33";"13,33";"23,33";"1,0";"192,67";"14,33";"20,33";"1,33";"15,67";"3,0";"0,67";"0,0";"13,33";"4715,93";"157,2";"999,8";"316,33";"27,22";"106,45";"4,23";"422,78";"31,45";"53,83";"3,02";"38,1";"4,84";"2,42";"0,0";"24,19";"4857,2";"161,91";"983,09";"394,48";"31,06";"54,36";"2,33";"448,84";"33,39";"47,37";"3,11";"36,5";"6,99";"1,55";"0,0";"31,06";"0,0";"4,08";"54,4"
"Anders Bleg Christiansen";"A. Christiansen";"691";"1990-06-08";"Malmo FF";"426";"SWE - Allsvenskan";"90";"2025/2025";"128";"Wide Attacker";"49,86";"27,32";"18,24";"9,07";"4";"0";"6200,5";"124,35";"1095,0";"433,25";"31,5";"79,0";"4,0";"512,25";"35,5";"27,3";"27,3";"65,75";"3,5";"51,75";"8,5";"2,25";"0,97";"null";"0,25";"null";"null";"19,75";"2,36";"null";"11191,68";"124,35";"1976,44";"782,0";"56,86";"142,59";"7,22";"924,59";"64,08";"118,68";"6,32";"93,41";"15,34";"4,06";"0,45";"35,65";"9646,31";"160,77";"2115,19";"884,08";"63,7";"154,85";"6,04";"1038,93";"69,74";"107,63";"4,94";"72,48";"12,63";"2877,25";"157,73";"633,75";"236,5";"17,25";"47,5";"1,5";"284,0";"18,75";"33,5";"1,5";"23,5";"2,5";"1,0";"0,25";"10,25";"1514,5";"166,89";"329,25";"166,0";"11,75";"23,0";"1,25";"189,0";"13,0";"15,5";"0,75";"9,5";"3,25";"0,25";"0,0";"7,75";"4731,89";"157,73";"1042,26";"388,94";"28,37";"78,12";"2,47";"467,06";"30,84";"55,09";"2,47";"38,65";"4,11";"1,64";"0,41";"16,86";"5006,61";"166,89";"1088,43";"548,76";"38,84";"76,03";"4,13";"624,79";"42,98";"51,24";"2,48";"31,4";"10,74";"0,83";"0,0";"25,62";"0,55";"2,75";"39,54"
"Arbër Zeneli";"A. Zeneli";"1011";"1995-02-25";"IF Elfsborg";"1483";"SWE - Allsvenskan";"90";"2025/2025";"128";"Wide Attacker";"55,67";"31,66";"15,22";"16,44";"12";"0";"6196,25";"111,29";"871,92";"450,08";"47,92";"201,5";"10,92";"651,58";"58,83";"29,7";"31,06";"72,42";"7,25";"57,75";"13,42";"5,58";"0,61";"0,62";"1,92";"1,14";"1,15";"30,42";"1,93";"2,95";"10016,39";"111,29";"1409,47";"727,57";"77,46";"325,73";"17,65";"1053,3";"95,11";"117,06";"11,72";"93,35";"21,69";"9,03";"3,1";"49,17";"8351,15";"139,19";"1485,45";"789,39";"82,11";"352,61";"18,16";"1141,99";"100,27";"98,22";"8,53";"68,69";"15,32";"2103,75";"138,2";"358,92";"216,42";"22,83";"106,08";"5,67";"322,5";"28,5";"25,25";"2,17";"16,17";"3,25";"1,67";"0,75";"13,5";"2303,42";"140,1";"425,0";"200,17";"20,5";"80,0";"3,92";"280,17";"24,42";"26,58";"2,33";"20,08";"4,83";"1,75";"0,42";"14,58";"4146,08";"138,2";"707,35";"426,51";"45,0";"209,07";"11,17";"635,58";"56,17";"49,76";"4,27";"31,86";"6,41";"3,28";"1,48";"26,61";"4202,89";"140,1";"775,47";"365,23";"37,4";"145,97";"7,15";"511,2";"44,55";"48,5";"4,26";"36,64";"8,82";"3,19";"0,76";"26,61";"2,21";"6,47";"53,22"
"Filip Helander";"F. Helander";"3438";"1993-04-22";"BK Hacken";"523";"SWE - Allsvenskan";"90";"2025/2025";"128";"Central Defender";"98,46";"59,0";"30,86";"28,14";"6";"0";"11110,33";"112,84";"1365,17";"417,33";"39,0";"125,17";"7,33";"542,5";"46,33";"28,82";"29,32";"119,0";"5,17";"101,17";"8,0";"2,5";"0,85";"0,85";"0,5";"null";"null";"22,83";"2,29";"null";"10155,58";"112,84";"1247,85";"381,47";"35,65";"114,41";"6,7";"495,88";"42,35";"108,77";"4,72";"92,47";"7,31";"2,29";"0,46";"20,87";"8432,94";"140,55";"1241,24";"381,37";"34,07";"111,53";"6,27";"492,9";"40,34";"86,61";"3,22";"69,83";"4,75";"4238,67";"137,35";"553,5";"90,5";"9,67";"22,33";"1,17";"112,83";"10,83";"35,0";"1,5";"32,33";"1,83";"0,33";"0,17";"7,0";"4053,33";"144,06";"667,0";"284,5";"23,83";"87,33";"5,0";"371,83";"28,83";"50,17";"1,67";"36,33";"2,83";"0,67";"0,17";"13,33";"4120,4";"137,35";"538,06";"87,97";"9,4";"21,71";"1,13";"109,68";"10,53";"34,02";"1,46";"31,43";"1,78";"0,32";"0,16";"6,8";"4321,85";"144,06";"711,19";"303,35";"25,41";"93,12";"5,33";"396,47";"30,74";"53,49";"1,78";"38,74";"3,02";"0,71";"0,18";"14,22";"0,34";"1,02";"20,68"
"Isaac Kiese Thelin";"I. Kiese Thelin";"4479";"1992-06-24";"Malmo FF";"426";"SWE - Allsvenskan";"90";"2025/2025";"128";"Center Forward";"68,02";"38,37";"21,05";"17,32";"10";"0";"7868,5";"115,69";"1233,8";"490,4";"43,4";"83,1";"5,4";"573,5";"48,8";"26,63";"27,24";"85,0";"6,4";"73,1";"11,7";"4,6";"0,77";"0,86";"0,5";"2,3";"null";"31,7";"2,05";"2,77";"10411,89";"115,69";"1632,61";"648,92";"57,43";"109,96";"7,15";"758,88";"64,57";"112,48";"8,47";"96,73";"15,48";"6,09";"0,66";"41,95";"8811,02";"146,85";"1720,95";"709,49";"60,21";"120,26";"6,1";"829,75";"66,3";"91,17";"6,26";"71,0";"10,32";"2902,9";"137,92";"493,7";"237,3";"20,7";"48,9";"2,7";"286,2";"23,4";"32,4";"2,3";"23,2";"2,7";"1,7";"0,3";"13,7";"2731,5";"157,71";"606,8";"216,4";"17,8";"28,0";"1,2";"244,4";"19,0";"25,9";"1,7";"22,2";"3,9";"0,9";"0,1";"15,4";"4137,48";"137,92";"703,67";"338,22";"29,5";"69,7";"3,85";"407,92";"33,35";"46,18";"3,28";"33,07";"3,85";"2,42";"0,43";"19,53";"4731,24";"157,71";"1051,04";"374,83";"30,83";"48,5";"2,08";"423,33";"32,91";"44,86";"2,94";"38,45";"6,76";"1,56";"0,17";"26,67";"0,63";"4,07";"45,51"
"Isak Ssewankambo";"I. Ssewankambo";"4485";"1996-02-27";"IF Brommapojkarna";"2941";"SWE - Allsvenskan";"90";"2025/2025";"128";"Central Defender";"77,67";"44,48";"19,17";"25,31";"6";"1";"7830,5";"100,81";"894,33";"276,67";"26,5";"65,67";"4,17";"342,33";"30,67";"27,98";"28,5";"88,17";"4,67";"70,33";"8,17";"2,83";"0,68";"0,81";"1,17";"1,69";"null";"18,17";"2,32";"null";"9073,0";"100,81";"1036,24";"320,57";"30,7";"76,09";"4,83";"396,65";"35,53";"102,16";"5,41";"81,49";"9,46";"3,28";"1,35";"21,05";"7629,68";"127,16";"1050,48";"335,69";"30,58";"81,84";"3,6";"417,54";"34,18";"82,29";"3,82";"62,28";"6,07";"2353,83";"122,81";"298,83";"72,17";"7,17";"19,17";"0,83";"91,33";"8,0";"19,83";"1,17";"15,0";"1,67";"0,5";"0,33";"4,0";"3301,67";"130,46";"479,83";"176,67";"15,5";"41,5";"1,83";"218,17";"17,33";"41,17";"1,67";"31,17";"2,83";"1,0";"0,17";"12,0";"3684,26";"122,81";"467,74";"112,96";"11,22";"30,0";"1,3";"142,96";"12,52";"31,04";"1,83";"23,48";"2,61";"0,78";"0,52";"6,26";"3913,73";"130,46";"568,78";"209,42";"18,37";"49,19";"2,17";"258,61";"20,55";"48,8";"1,98";"36,94";"3,36";"1,19";"0,2";"14,22";"0,67";"2,02";"21,59"
"Jere Uronen";"J. Uronen";"4916";"1994-07-13";"AIK";"524";"SWE - Allsvenskan";"90";"2025/2025";"128";"Full Back";"69,52";"35,14";"15,75";"19,39";"5";"0";"7615,0";"109,54";"1154,4";"567,4";"50,8";"168,2";"10,0";"735,6";"60,8";"27,3";"27,3";"92,2";"6,6";"73,6";"19,0";"4,2";"0,78";"0,95";"2,0";"1,5";"null";"29,8";"2,25";"3,04";"9858,31";"109,54";"1494,48";"734,55";"65,77";"217,75";"12,95";"952,3";"78,71";"119,36";"8,54";"95,28";"24,6";"5,44";"2,59";"38,58";"8763,01";"146,05";"1695,16";"880,71";"77,52";"260,22";"15,37";"1140,92";"92,89";"108,59";"7,51";"75,13";"17,42";"2160,4";"137,17";"387,2";"174,8";"17,0";"57,2";"3,4";"232,0";"20,4";"25,0";"1,8";"16,2";"4,4";"1,0";"0,8";"9,2";"2971,8";"153,26";"605,6";"341,0";"28,4";"95,2";"5,6";"436,2";"34,0";"38,6";"2,6";"27,8";"5,8";"1,8";"0,4";"18,2";"4115,05";"137,17";"737,52";"332,95";"32,38";"108,95";"6,48";"441,9";"38,86";"47,62";"3,43";"30,86";"8,38";"1,9";"1,52";"17,52";"4597,94";"153,26";"936,98";"527,59";"43,94";"147,29";"8,66";"674,88";"52,6";"59,72";"4,02";"43,01";"8,97";"2,78";"0,62";"28,16";"2,05";"4,78";"46,78"
"John Guidetti";"J. Guidetti";"5176";"1992-04-15";"AIK";"524";"SWE - Allsvenskan";"90";"2025/2025";"128";"Center Forward";"68,14";"33,51";"14,71";"18,8";"14";"0";"7444,5";"109,25";"1102,86";"499,71";"44,43";"106,0";"6,21";"605,71";"50,64";"27,53";"29,3";"82,14";"5,93";"63,64";"13,14";"4,07";"0,67";"0,74";"0,57";"1,79";"null";"41,0";"1,78";"2,83";"9832,87";"109,25";"1456,68";"660,03";"58,68";"140,01";"8,21";"800,04";"66,89";"108,5";"7,83";"84,06";"17,36";"5,38";"0,75";"54,15";"8995,78";"149,93";"1732,73";"814,25";"71,36";"172,52";"9,46";"986,77";"80,82";"100,26";"5,88";"69,44";"13,56";"2124,93";"144,42";"397,79";"207,21";"18,36";"50,07";"2,64";"257,29";"21,0";"27,71";"1,64";"16,64";"2,79";"1,21";"0,21";"15,36";"2899,5";"154,24";"570,0";"247,57";"21,5";"46,29";"2,64";"293,86";"24,14";"28,29";"1,64";"22,14";"4,79";"1,0";"0,07";"21,86";"4332,73";"144,42";"811,09";"422,51";"37,43";"102,1";"5,39";"524,61";"42,82";"56,51";"3,35";"33,93";"5,68";"2,48";"0,44";"31,31";"4627,15";"154,24";"909,63";"395,09";"34,31";"73,86";"4,22";"468,95";"38,53";"45,14";"2,62";"35,34";"7,64";"1,6";"0,11";"34,88";"0,51";"3,96";"66,63"
