"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position Group";"Minutes";"Minutes BIP";"Minutes TIP";"Minutes OTIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Peak Velocity";"TOP 3 Peak Velocity";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP";"Change of Direction Count P60BIP";"Distance TIP";"M/min TIP";"Running Distance TIP";"HSR Distance TIP";"HSR Count TIP";"Sprint Distance TIP";"Sprint Count TIP";"HI Distance TIP";"HI Count TIP";"Medium Acceleration Count TIP";"High Acceleration Count TIP";"Medium Deceleration Count TIP";"High Deceleration Count TIP";"Explosive Acceleration to HSR Count TIP";"Explosive Acceleration to Sprint Count TIP";"Change of Direction Count TIP";"Distance OTIP";"M/min OTIP";"Running Distance OTIP";"HSR Distance OTIP";"HSR Count OTIP";"Sprint Distance OTIP";"Sprint Count OTIP";"HI Distance OTIP";"HI Count OTIP";"Medium Acceleration Count OTIP";"High Acceleration Count OTIP";"Medium Deceleration Count OTIP";"High Deceleration Count OTIP";"Explosive Acceleration to HSR Count OTIP";"Explosive Acceleration to Sprint Count OTIP";"Change of Direction Count OTIP";"Distance TIP P30TIP";"M/min TIP P30TIP";"Running Distance TIP P30TIP";"HSR Distance TIP P30TIP";"HSR Count TIP P30TIP";"Sprint Distance TIP P30TIP";"Sprint Count TIP P30TIP";"HI Distance TIP P30TIP";"HI Count TIP P30TIP";"Medium Acceleration Count TIP P30TIP";"High Acceleration Count TIP P30TIP";"Medium Deceleration Count TIP P30TIP";"High Deceleration Count TIP P30TIP";"Explosive Acceleration to HSR Count TIP P30TIP";"Explosive Acceleration to Sprint Count TIP P30TIP";"Change of Direction Count TIP P30TIP";"Distance OTIP P30OTIP";"M/min OTIP P30OTIP";"Running Distance OTIP P30OTIP";"HSR Distance OTIP P30OTIP";"HSR Count OTIP P30OTIP";"Sprint Distance OTIP P30OTIP";"Sprint Count OTIP P30OTIP";"HI Distance OTIP P30OTIP";"HI Count OTIP P30OTIP";"Medium Acceleration Count OTIP P30OTIP";"High Acceleration Count OTIP P30OTIP";"Medium Deceleration Count OTIP P30OTIP";"High Deceleration Count OTIP P30OTIP";"Explosive Acceleration to HSR Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count OTIP P30OTIP";"Change of Direction Count OTIP P30OTIP"
"Abdoulaye Bamba";"A. Bamba";"120";"1990-04-25";"Angers SCO";"98";"FRA - Ligue 1";"3";"2025/2026";"129";"Central Defender";"84.58";"49.26";"18.64";"30.62";"3";"0";"8737.67";"103.31";"958.0";"304.33";"31.0";"118.0";"6.67";"422.33";"37.67";"29.0";"29.0";"30.27";"30.27";"91.33";"3.67";"73.67";"11.0";"2.67";"0.74";"null";"2.0";"1.59";"null";"23.33";"2.66";"null";"9297.83";"103.31";"1019.42";"323.84";"32.99";"125.56";"7.09";"449.41";"40.08";"97.19";"3.9";"78.39";"11.71";"2.84";"2.13";"24.83";"7821.25";"130.35";"1026.48";"334.18";"32.48";"136.84";"6.09";"471.01";"38.57";"81.21";"3.25";"57.66";"7.31";"2.44";"1.22";"24.77";"2377.33";"127.55";"283.0";"55.67";"5.67";"21.0";"1.33";"76.67";"7.0";"21.0";"0.67";"13.33";"1.67";"0.0";"0.0";"3.67";"4043.33";"132.06";"559.67";"218.67";"21.0";"91.33";"3.67";"310.0";"24.67";"45.67";"2.0";"34.0";"4.33";"2.0";"1.0";"16.67";"3826.41";"127.55";"455.5";"89.6";"9.12";"33.8";"2.15";"123.4";"11.27";"33.8";"1.07";"21.46";"2.68";"0.0";"0.0";"5.9";"3961.89";"132.06";"548.39";"214.26";"20.58";"89.49";"3.59";"303.76";"24.17";"44.75";"1.96";"33.32";"4.25";"1.96";"0.98";"16.33"
"Abdoulaye Touré";"A. Touré";"128";"1994-03-03";"Le Havre AC";"69";"FRA - Ligue 1";"3";"2025/2026";"129";"Midfield";"68.15";"37.85";"18.83";"19.02";"9";"0";"8094.44";"118.77";"1456.33";"564.33";"47.11";"121.44";"7.22";"685.78";"54.33";"28.03";"29.08";"29.59";"31.3";"93.56";"3.78";"78.0";"14.22";"3.0";"0.73";"0.85";"0.67";"1.97";"2.08";"40.0";"2.13";"2.76";"10689.66";"118.77";"1923.26";"745.27";"62.22";"160.38";"9.54";"905.65";"71.75";"123.55";"4.99";"103.01";"18.78";"3.96";"0.88";"52.82";"9397.66";"156.63";"2090.03";"839.36";"67.47";"176.15";"9.51";"1015.51";"76.98";"109.39";"4.05";"79.8";"13.56";"3.17";"0.53";"56.9";"2833.89";"150.52";"599.44";"215.22";"18.0";"56.0";"2.78";"271.22";"20.78";"29.67";"1.11";"21.56";"3.22";"0.78";"0.22";"14.11";"3093.89";"162.68";"718.89";"314.22";"24.56";"55.11";"3.22";"369.33";"27.78";"39.33";"1.44";"28.78";"5.33";"1.22";"0.11";"21.78";"4515.49";"150.52";"955.15";"342.93";"28.68";"89.23";"4.43";"432.16";"33.11";"47.27";"1.77";"34.35";"5.13";"1.24";"0.35";"22.48";"4880.33";"162.68";"1133.98";"495.66";"38.73";"86.93";"5.08";"582.59";"43.82";"62.04";"2.28";"45.39";"8.41";"1.93";"0.18";"34.35"
"Adam Buksa";"A. Buksa";"173";"1996-07-12";"Udinese";"148";"ITA - Serie A";"5";"2025/2026";"129";"Center Forward";"54.07";"28.75";"13.05";"15.7";"13";"0";"6573.15";"121.57";"1105.62";"410.08";"35.0";"87.38";"5.69";"497.46";"40.69";"27.21";"28.46";"28.65";"30.27";"65.15";"3.92";"54.54";"6.38";"2.46";"0.71";"0.91";"1.15";"1.43";"1.97";"28.69";"1.9";"2.91";"10941.49";"121.57";"1840.38";"682.6";"58.26";"145.46";"9.48";"828.06";"67.74";"108.45";"6.53";"90.78";"10.63";"4.1";"1.92";"47.76";"9605.78";"160.1";"2051.27";"788.17";"67.92";"173.56";"10.44";"961.73";"78.35";"96.01";"5.3";"70.32";"9.31";"3.37";"1.28";"55.87";"1946.0";"149.13";"382.0";"187.38";"16.92";"54.69";"3.23";"242.08";"20.15";"22.0";"1.54";"13.92";"2.08";"1.0";"0.46";"11.15";"2656.15";"169.21";"600.77";"190.23";"15.62";"28.46";"1.77";"218.69";"17.38";"24.0";"1.0";"19.77";"2.38";"0.62";"0.15";"15.62";"4474.0";"149.13";"878.25";"430.81";"38.91";"125.74";"7.43";"556.55";"46.34";"50.58";"3.54";"32.01";"4.78";"2.3";"1.06";"25.64";"5076.28";"169.21";"1148.15";"363.56";"29.84";"54.39";"3.38";"417.95";"33.22";"45.87";"1.91";"37.78";"4.56";"1.18";"0.29";"29.84"
"Adam Dźwigała";"A. Dźwigała";"182";"1995-09-25";"FC St. Pauli";"122";"GER - Bundesliga";"6";"2025/2026";"129";"Central Defender";"73.26";"40.46";"16.98";"23.48";"17";"0";"8181.41";"111.67";"1080.82";"346.41";"31.76";"106.35";"5.65";"452.76";"37.41";"28.75";"31.7";"30.19";"32.87";"79.12";"4.12";"62.29";"8.76";"2.41";"0.61";"0.75";"0.53";"1.45";"null";"23.47";"2.01";"2.73";"10050.23";"111.67";"1327.71";"425.54";"39.02";"130.65";"6.94";"556.19";"45.96";"97.19";"5.06";"76.52";"10.77";"2.96";"0.65";"28.83";"8507.59";"141.79";"1331.23";"442.12";"41.0";"142.54";"6.89";"584.66";"47.89";"85.06";"3.4";"63.16";"7.76";"1.74";"0.26";"30.62";"2337.47";"137.7";"345.71";"79.12";"7.65";"22.88";"1.18";"102.0";"8.82";"19.0";"0.88";"14.76";"1.59";"0.29";"0.0";"5.29";"3399.18";"144.75";"551.94";"219.0";"20.0";"73.24";"3.47";"292.24";"23.47";"38.35";"1.41";"27.82";"3.65";"0.88";"0.18";"15.35";"4130.9";"137.7";"610.95";"139.82";"13.51";"40.44";"2.08";"180.26";"15.59";"33.58";"1.56";"26.09";"2.81";"0.52";"0.0";"9.36";"4342.64";"144.75";"705.14";"279.78";"25.55";"93.56";"4.43";"373.35";"29.98";"49.0";"1.8";"35.55";"4.66";"1.13";"0.23";"19.61"
"Adam Marušić";"A. Marušić";"196";"1992-10-17";"Lazio";"133";"ITA - Serie A";"5";"2025/2026";"129";"Full Back";"91.05";"52.64";"25.46";"27.18";"33";"0";"9882.45";"108.54";"1213.64";"508.3";"52.24";"197.97";"10.45";"706.27";"62.7";"30.24";"32.54";"31.74";"34.23";"102.0";"6.79";"85.85";"17.3";"5.15";"0.63";"0.7";"1.97";"1.18";"1.36";"25.21";"1.87";"2.64";"9768.54";"108.54";"1199.65";"502.44";"51.64";"195.69";"10.33";"698.13";"61.97";"100.82";"6.71";"84.86";"17.1";"5.09";"1.95";"24.92";"8203.24";"136.72";"1228.97";"528.01";"52.64";"205.66";"10.12";"733.67";"62.76";"87.81";"4.8";"65.56";"11.12";"3.77";"1.52";"26.25";"3197.0";"125.57";"386.21";"165.12";"18.06";"82.06";"3.94";"247.18";"22.0";"30.36";"1.79";"23.67";"3.94";"1.39";"0.67";"6.73";"3999.55";"147.17";"691.94";"298.09";"28.12";"98.36";"4.94";"396.45";"33.06";"46.67";"2.42";"33.85";"5.82";"1.91";"0.67";"16.3";"3767.0";"125.57";"455.07";"194.56";"21.28";"96.69";"4.64";"291.25";"25.92";"35.78";"2.11";"27.89";"4.64";"1.64";"0.79";"7.93";"4415.12";"147.17";"763.84";"329.06";"31.04";"108.58";"5.45";"437.65";"36.5";"51.52";"2.68";"37.37";"6.42";"2.11";"0.74";"18.0"
"Adam Masina";"A. Masina";"197";"1994-01-02";"Torino";"146";"ITA - Serie A";"5";"2025/2026";"129";"Central Defender";"73.91";"39.09";"15.39";"23.71";"3";"0";"7800.67";"105.55";"1034.0";"421.33";"31.67";"95.67";"5.67";"517.0";"37.33";"28.93";"28.93";"30.27";"30.27";"78.0";"3.67";"62.67";"7.67";"3.67";"0.84";"null";"2.33";"1.72";"null";"24.67";"2.2";"null";"9499.42";"105.55";"1259.17";"513.09";"38.56";"116.5";"6.9";"629.59";"45.46";"94.99";"4.47";"76.31";"9.34";"4.47";"2.84";"30.04";"8323.94";"138.73";"1315.28";"565.81";"41.95";"137.62";"6.14";"703.42";"48.09";"79.81";"3.58";"56.79";"5.12";"2.05";"1.02";"34.28";"2087.33";"135.64";"293.33";"67.33";"4.33";"8.67";"0.33";"76.0";"4.67";"12.67";"1.33";"10.33";"1.0";"1.0";"0.33";"4.0";"3336.33";"140.74";"563.67";"301.33";"23.0";"81.0";"3.67";"382.33";"26.67";"39.33";"1.0";"26.67";"2.33";"0.33";"0.33";"18.33";"4069.17";"135.64";"571.84";"131.26";"8.45";"16.9";"0.65";"148.16";"9.1";"24.69";"2.6";"20.14";"1.95";"1.95";"0.65";"7.8";"4222.22";"140.74";"713.33";"381.35";"29.11";"102.51";"4.64";"483.85";"33.75";"49.78";"1.27";"33.75";"2.95";"0.42";"0.42";"23.2"
"Adnan Januzaj";"A. Januzaj";"237";"1995-02-05";"Sevilla FC";"266";"ESP - LaLiga";"4";"2025/2026";"129";"Wide Attacker";"45.67";"22.58";"14.36";"8.21";"5";"0";"4882.4";"106.9";"673.8";"254.6";"23.6";"77.0";"4.0";"331.6";"27.6";"28.94";"28.94";"30.12";"30.7";"53.2";"2.8";"42.6";"6.8";"2.2";"0.81";"null";"0.6";"null";"null";"20.0";"2.35";"3.05";"9620.84";"106.9";"1327.73";"501.69";"46.5";"151.73";"7.88";"653.42";"54.39";"104.83";"5.52";"83.94";"13.4";"4.34";"1.18";"39.41";"8395.39";"139.92";"1524.41";"603.28";"55.28";"189.75";"9.04";"793.03";"64.31";"98.86";"6.38";"66.97";"9.04";"3.72";"1.06";"45.71";"1999.8";"139.23";"345.8";"162.0";"14.2";"43.0";"2.2";"205.0";"16.4";"25.4";"1.8";"16.4";"2.0";"1.2";"0.2";"11.6";"1159.2";"141.14";"227.8";"65.0";"6.6";"28.4";"1.2";"93.4";"7.8";"11.8";"0.6";"8.8";"1.4";"0.2";"0.2";"5.6";"4176.89";"139.23";"722.26";"338.36";"29.66";"89.81";"4.6";"428.17";"34.25";"53.05";"3.76";"34.25";"4.18";"2.51";"0.42";"24.23";"4234.09";"141.14";"832.06";"237.42";"24.11";"103.73";"4.38";"341.15";"28.49";"43.1";"2.19";"32.14";"5.11";"0.73";"0.73";"20.45"
"Adrien Rabiot";"A. Rabiot";"277";"1995-04-03";"AC Milan";"140";"ITA - Serie A";"5";"2025/2026";"129";"Midfield";"95.8";"55.92";"28.64";"27.29";"29";"0";"11005.34";"114.88";"1686.31";"688.93";"63.83";"234.03";"12.66";"922.97";"76.48";"28.88";"30.4";"31.06";"32.77";"114.59";"4.9";"100.03";"15.41";"3.55";"0.68";"0.69";"1.1";"1.2";"1.26";"40.14";"1.84";"2.62";"10338.86";"114.88";"1584.19";"647.21";"59.96";"219.86";"11.89";"867.07";"71.85";"107.65";"4.6";"93.98";"14.48";"3.34";"1.04";"37.71";"8792.9";"146.55";"1642.52";"691.79";"63.53";"234.01";"12.02";"925.8";"75.55";"92.94";"3.88";"71.89";"9.58";"2.66";"0.81";"39.77";"4047.69";"141.35";"674.03";"323.86";"32.1";"149.03";"7.72";"472.9";"39.83";"41.62";"1.86";"30.55";"3.97";"1.31";"0.48";"17.0";"4147.48";"152.01";"856.83";"320.9";"27.1";"69.07";"3.48";"389.97";"30.59";"45.0";"1.76";"36.45";"4.97";"1.17";"0.28";"20.07";"4240.46";"141.35";"706.14";"339.29";"33.63";"156.13";"8.09";"495.42";"41.72";"43.6";"1.95";"32.01";"4.15";"1.37";"0.51";"17.81";"4560.17";"152.01";"942.08";"352.83";"29.8";"75.94";"3.83";"428.77";"33.63";"49.48";"1.93";"40.07";"5.46";"1.29";"0.3";"22.07"
"Adrien Thomasson";"A. Thomasson";"281";"1993-12-10";"RC Lens";"85";"FRA - Ligue 1";"3";"2025/2026";"129";"Midfield";"93.93";"51.97";"26.0";"25.98";"27";"0";"12829.3";"136.59";"3031.11";"1132.37";"88.56";"167.04";"11.48";"1299.41";"100.04";"26.89";"28.4";"29.47";"31.07";"134.19";"5.04";"107.41";"27.07";"3.11";"0.74";"0.79";"0.37";"1.52";"1.85";"83.63";"1.8";"2.42";"12292.98";"136.59";"2904.4";"1085.03";"84.85";"160.05";"11.0";"1245.09";"95.86";"128.58";"4.83";"102.92";"25.94";"2.98";"0.35";"80.13";"10972.61";"182.88";"3197.71";"1191.71";"91.58";"174.62";"10.86";"1366.32";"102.44";"115.87";"3.98";"82.61";"18.09";"2.31";"0.26";"89.28";"4737.44";"182.24";"1370.44";"538.07";"41.67";"87.78";"5.15";"625.85";"46.81";"49.52";"1.63";"35.3";"6.3";"0.96";"0.15";"30.7";"4767.41";"183.51";"1399.52";"494.22";"37.67";"63.48";"4.26";"557.7";"41.93";"50.85";"1.81";"36.26";"9.37";"1.04";"0.07";"46.63";"5467.19";"182.24";"1581.54";"620.96";"48.08";"101.3";"5.94";"722.26";"54.03";"57.15";"1.88";"40.73";"7.27";"1.11";"0.17";"35.43";"5505.43";"183.51";"1616.17";"570.73";"43.5";"73.31";"4.92";"644.04";"48.42";"58.72";"2.1";"41.87";"10.82";"1.2";"0.09";"53.85"
"Aïssa Mandi";"A. Mandi";"314";"1991-10-22";"LOSC Lille";"78";"FRA - Ligue 1";"3";"2025/2026";"129";"Central Defender";"94.8";"53.46";"29.15";"24.3";"26";"0";"10160.96";"107.19";"1272.0";"386.58";"32.65";"79.54";"4.62";"466.12";"37.27";"27.63";"30.24";"29.57";"31.83";"99.12";"4.04";"77.88";"10.5";"2.15";"0.71";"0.81";"0.69";"1.45";"1.7";"25.92";"2.04";"2.87";"9646.94";"107.19";"1207.65";"367.02";"31.0";"75.51";"4.38";"442.54";"35.38";"94.1";"3.83";"73.94";"9.97";"2.04";"0.66";"24.61";"8183.98";"136.4";"1232.07";"393.57";"32.42";"80.47";"3.97";"474.03";"36.39";"80.29";"2.85";"58.41";"6.17";"1.38";"0.3";"25.38";"3616.69";"124.05";"434.58";"95.81";"7.92";"13.5";"0.77";"109.31";"8.69";"29.96";"0.88";"23.69";"2.08";"0.35";"0.04";"5.96";"3674.92";"151.21";"663.15";"254.85";"20.96";"58.19";"2.77";"313.04";"23.73";"41.58";"1.65";"28.35";"3.42";"0.88";"0.23";"16.65";"3721.58";"124.05";"447.18";"98.59";"8.15";"13.89";"0.79";"112.48";"8.94";"30.83";"0.91";"24.38";"2.14";"0.36";"0.04";"6.13";"4536.34";"151.21";"818.6";"314.58";"25.88";"71.83";"3.42";"386.42";"29.29";"51.32";"2.04";"34.99";"4.23";"1.09";"0.28";"20.56"
