"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position Group";"Minutes";"Minutes BIP";"Minutes TIP";"Minutes OTIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Distance TIP";"M/min TIP";"Running Distance TIP";"HSR Distance TIP";"HSR Count TIP";"Sprint Distance TIP";"Sprint Count TIP";"HI Distance TIP";"HI Count TIP";"Medium Acceleration Count TIP";"High Acceleration Count TIP";"Medium Deceleration Count TIP";"High Deceleration Count TIP";"Explosive Acceleration to HSR Count TIP";"Explosive Acceleration to Sprint Count TIP";"Change of Direction Count TIP";"Distance OTIP";"M/min OTIP";"Running Distance OTIP";"HSR Distance OTIP";"HSR Count OTIP";"Sprint Distance OTIP";"Sprint Count OTIP";"HI Distance OTIP";"HI Count OTIP";"Medium Acceleration Count OTIP";"High Acceleration Count OTIP";"Medium Deceleration Count OTIP";"High Deceleration Count OTIP";"Explosive Acceleration to HSR Count OTIP";"Explosive Acceleration to Sprint Count OTIP";"Change of Direction Count OTIP";"Distance TIP P30TIP";"M/min TIP P30TIP";"Running Distance TIP P30TIP";"HSR Distance TIP P30TIP";"HSR Count TIP P30TIP";"Sprint Distance TIP P30TIP";"Sprint Count TIP P30TIP";"HI Distance TIP P30TIP";"HI Count TIP P30TIP";"Medium Acceleration Count TIP P30TIP";"High Acceleration Count TIP P30TIP";"Medium Deceleration Count TIP P30TIP";"High Deceleration Count TIP P30TIP";"Explosive Acceleration to HSR Count TIP P30TIP";"Explosive Acceleration to Sprint Count TIP P30TIP";"Change of Direction Count TIP P30TIP";"Distance OTIP P30OTIP";"M/min OTIP P30OTIP";"Running Distance OTIP P30OTIP";"HSR Distance OTIP P30OTIP";"HSR Count OTIP P30OTIP";"Sprint Distance OTIP P30OTIP";"Sprint Count OTIP P30OTIP";"HI Distance OTIP P30OTIP";"HI Count OTIP P30OTIP";"Medium Acceleration Count OTIP P30OTIP";"High Acceleration Count OTIP P30OTIP";"Medium Deceleration Count OTIP P30OTIP";"High Deceleration Count OTIP P30OTIP";"Explosive Acceleration to HSR Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count OTIP P30OTIP";"Change of Direction Count OTIP P30OTIP";"Explosive Acceleration to Sprint Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Change of Direction Count P60BIP"
"Bart Straalman";"B. Straalman";"1200";"1996-08-22";"FC Inter Turku";"1769";"FIN - Veikkausliiga";"323";"2025/2025";"128";"Central Defender";"98,08";"56,81";"30,54";"26,27";"21";"1";"10253,0";"104,53";"1323,33";"425,62";"40,52";"128,0";"7,24";"553,62";"47,76";"28,46";"30,06";"113,57";"5,48";"90,71";"10,95";"3,9";"0,6";"0,66";"0,81";"1,29";"1,61";"22,05";"2,0";"2,9";"9407,94";"104,53";"1214,26";"390,54";"37,18";"117,45";"6,64";"507,99";"43,83";"104,21";"5,02";"83,24";"10,05";"3,58";"0,74";"20,23";"7801,07";"130,02";"1193,95";"397,53";"37,87";"121,91";"6,59";"519,44";"44,46";"86,96";"4,02";"67,24";"6,94";"3707,57";"121,4";"504,76";"123,86";"12,29";"29,0";"1,81";"152,86";"14,1";"35,14";"1,62";"28,81";"2,76";"0,76";"0,14";"5,67";"3678,48";"140,04";"625,67";"252,52";"23,57";"86,43";"4,43";"338,95";"28,0";"47,19";"2,19";"34,86";"3,81";"1,52";"0,48";"14,38";"3641,96";"121,4";"495,83";"121,67";"12,07";"28,49";"1,78";"150,15";"13,85";"34,52";"1,59";"28,3";"2,71";"0,75";"0,14";"5,57";"4201,18";"140,04";"714,57";"288,41";"26,92";"98,71";"5,06";"387,12";"31,98";"53,9";"2,5";"39,81";"4,35";"1,74";"0,54";"16,42";"0,65";"2,41";"21,17"
"Jelle van der Heyden";"J. van der Heyden";"4898";"1995-08-31";"IFK Mariehamn";"5280";"FIN - Veikkausliiga";"323";"2025/2025";"128";"Midfield";"80,6";"48,73";"21,1";"27,63";"9";"1";"10177,89";"126,27";"1594,44";"518,44";"44,89";"120,33";"6,56";"638,78";"51,44";"27,46";"28,44";"100,67";"3,56";"89,22";"10,0";"2,33";"0,73";"0,78";"0,56";"1,75";"null";"33,44";"1,92";"2,78";"11364,37";"126,27";"1780,32";"578,88";"50,12";"134,36";"7,32";"713,24";"57,44";"112,4";"3,97";"99,62";"11,17";"2,61";"0,62";"37,34";"9475,46";"157,92";"1829,48";"611,65";"51,44";"134,48";"6,43";"746,13";"57,87";"97,54";"3,01";"77,84";"9,17";"3300,44";"156,43";"634,67";"144,78";"13,56";"38,44";"1,89";"183,22";"15,44";"33,0";"1,11";"23,89";"2,33";"0,56";"0,11";"12,0";"4395,44";"159,06";"851,22";"352,0";"28,22";"70,78";"3,33";"422,78";"31,56";"46,22";"1,33";"39,33";"5,11";"0,67";"0,11";"19,78";"4692,99";"156,43";"902,45";"205,86";"19,27";"54,67";"2,69";"260,53";"21,96";"46,92";"1,58";"33,97";"3,32";"0,79";"0,16";"17,06";"4771,89";"159,06";"924,13";"382,15";"30,64";"76,84";"3,62";"458,99";"34,26";"50,18";"1,45";"42,7";"5,55";"0,72";"0,12";"21,47";"0,27";"1,5";"39,13"
"Jelle van der Heyden";"J. van der Heyden";"4898";"1995-08-31";"IFK Mariehamn";"5280";"FIN - Veikkausliiga";"323";"2026/2026";"130";"Midfield";"78,53";"46,38";"22,49";"23,9";"6";"0";"10092,83";"128,52";"1745,83";"615,5";"45,67";"104,67";"6,33";"720,17";"52,0";"26,92";"27,14";"97,5";"2,83";"87,83";"10,17";"1,83";"0,93";"null";"0,17";"null";"null";"36,0";"2,11";"2,85";"11566,9";"128,52";"2000,81";"705,39";"52,34";"119,95";"7,26";"825,35";"59,59";"111,74";"3,25";"100,66";"11,65";"2,1";"0,19";"41,26";"9829,61";"163,83";"2119,94";"763,21";"55,84";"111,03";"6,47";"874,24";"62,31";"99,17";"2,37";"78,48";"8,41";"3488,33";"155,13";"663,33";"162,67";"13,33";"19,17";"1,33";"181,83";"14,67";"33,5";"1,0";"25,5";"1,83";"0,33";"0,0";"11,17";"4110,5";"172,01";"975,5";"427,33";"29,83";"66,67";"3,67";"494,0";"33,5";"43,17";"0,83";"35,17";"4,67";"0,33";"0,17";"23,0";"4653,98";"155,13";"884,99";"217,02";"17,79";"25,57";"1,78";"242,59";"19,57";"44,69";"1,33";"34,02";"2,45";"0,44";"0,0";"14,9";"5160,22";"172,01";"1224,62";"536,46";"37,45";"83,69";"4,6";"620,16";"42,06";"54,19";"1,05";"44,15";"5,86";"0,42";"0,21";"28,87";"0,22";"0,86";"44,2"
"Juhani Ojala";"J. Ojala";"5561";"1989-06-19";"IF Gnistan";"5281";"FIN - Veikkausliiga";"323";"2025/2025";"128";"Central Defender";"90,73";"47,72";"21,08";"26,64";"27";"2";"9164,52";"101,01";"1085,67";"359,11";"30,63";"83,11";"4,37";"442,22";"35,0";"27,8";"29,9";"99,59";"3,96";"80,33";"9,78";"1,93";"0,66";"0,68";"0,26";"2,1";"null";"17,78";"2,16";"2,85";"9091,19";"101,01";"1076,98";"356,24";"30,38";"82,45";"4,34";"438,68";"34,72";"98,8";"3,93";"79,69";"9,7";"1,91";"0,26";"17,64";"7797,76";"129,96";"1126,69";"396,44";"33,81";"97,42";"3,96";"493,86";"37,77";"84,15";"3,4";"63,01";"6,61";"2514,52";"119,29";"299,11";"66,15";"5,96";"14,07";"0,59";"80,22";"6,56";"21,78";"1,04";"17,37";"1,81";"0,04";"0,0";"3,37";"3687,19";"138,41";"596,96";"249,15";"20,93";"63,41";"2,56";"312,56";"23,48";"45,15";"1,67";"32,74";"3,44";"0,85";"0,11";"12,59";"3578,7";"119,29";"425,7";"94,14";"8,49";"20,03";"0,84";"114,17";"9,33";"30,99";"1,48";"24,72";"2,58";"0,05";"0,0";"4,8";"4152,22";"138,41";"672,25";"280,57";"23,57";"71,4";"2,88";"351,98";"26,44";"50,84";"1,88";"36,87";"3,88";"0,96";"0,13";"14,18";"0,14";"1,12";"20,07"
"Juhani Ojala";"J. Ojala";"5561";"1989-06-19";"IF Gnistan";"5281";"FIN - Veikkausliiga";"323";"2026/2026";"130";"Central Defender";"77,83";"41,59";"14,27";"27,32";"4";"0";"8149,25";"104,71";"1041,5";"326,5";"26,25";"60,5";"2,75";"387,0";"29,0";"27,12";"27,12";"87,75";"3,5";"70,25";"8,5";"2,75";"0,88";"null";"1,0";"null";"null";"14,5";"null";"null";"9424,12";"104,71";"1204,43";"377,58";"30,36";"69,96";"3,18";"447,54";"33,54";"101,48";"4,05";"81,24";"9,83";"3,18";"1,16";"16,77";"7992,71";"133,21";"1249,65";"399,24";"32,82";"79,34";"2,52";"478,58";"35,34";"86,2";"3,61";"63,83";"7,21";"1821,5";"127,64";"255,25";"56,0";"4,25";"9,75";"0,25";"65,75";"4,5";"16,25";"1,25";"10,25";"1,75";"0,0";"0,0";"2,25";"3719,0";"136,12";"611,0";"220,75";"18,5";"45,25";"1,5";"266,0";"20,0";"43,5";"1,25";"34,0";"3,25";"1,0";"0,25";"11,75";"3829,14";"127,64";"536,58";"117,72";"8,93";"20,5";"0,53";"138,22";"9,46";"34,16";"2,63";"21,55";"3,68";"0,0";"0,0";"4,73";"4083,7";"136,12";"670,92";"242,4";"20,31";"49,69";"1,65";"292,08";"21,96";"47,77";"1,37";"37,33";"3,57";"1,1";"0,27";"12,9";"0,36";"1,44";"20,2"
"Jukka Raitala";"J. Raitala";"5563";"1988-09-15";"IF Gnistan";"5281";"FIN - Veikkausliiga";"323";"2025/2025";"128";"Central Defender";"92,44";"50,24";"23,6";"26,63";"5";"1";"9458,2";"102,32";"1063,2";"401,6";"37,0";"152,4";"6,8";"554,0";"43,8";"29,28";"29,28";"103,6";"4,8";"79,8";"11,6";"3,2";"0,79";"null";"1,4";"null";"null";"18,0";"2,75";"2,7";"9208,88";"102,32";"1035,17";"391,01";"36,02";"148,38";"6,62";"539,4";"42,65";"100,87";"4,67";"77,7";"11,29";"3,12";"1,36";"17,53";"7760,63";"129,34";"1072,52";"429,96";"38,46";"163,39";"6,21";"593,35";"44,67";"80,74";"4,06";"60,67";"8,6";"2860,0";"121,17";"310,6";"87,0";"8,4";"25,6";"1,0";"112,6";"9,4";"23,2";"1,4";"19,0";"2,4";"0,4";"0,0";"4,6";"3637,8";"136,59";"587,4";"273,0";"23,8";"111,2";"4,2";"384,2";"28,0";"44,4";"2,0";"31,8";"4,8";"1,2";"0,6";"11,4";"3635,08";"121,17";"394,77";"110,58";"10,68";"32,54";"1,27";"143,12";"11,95";"29,49";"1,78";"24,15";"3,05";"0,51";"0,0";"5,85";"4097,65";"136,59";"661,65";"307,51";"26,81";"125,26";"4,73";"432,77";"31,54";"50,01";"2,25";"35,82";"5,41";"1,35";"0,68";"12,84";"0,72";"1,91";"19,11"
"Jukka Raitala";"J. Raitala";"5563";"1988-09-15";"IF Gnistan";"5281";"FIN - Veikkausliiga";"323";"2025/2025";"128";"Full Back";"89,36";"46,35";"17,86";"28,49";"8";"1";"9523,5";"106,57";"1187,88";"487,25";"45,62";"165,5";"9,0";"652,75";"54,62";"29,34";"30,24";"101,12";"6,5";"86,12";"14,75";"4,88";"0,65";"0,73";"0,75";"1,55";"1,55";"25,62";"2,4";"2,68";"9591,44";"106,57";"1196,35";"490,73";"45,95";"166,68";"9,06";"657,41";"55,01";"101,85";"6,55";"86,74";"14,86";"4,91";"0,76";"25,81";"8094,26";"134,9";"1294,71";"579,56";"53,39";"198,53";"9,38";"778,09";"62,78";"89,15";"5,18";"67,79";"11,0";"2322,5";"130,04";"331,5";"138,62";"14,0";"61,0";"2,88";"199,62";"16,88";"23,0";"1,5";"17,38";"2,88";"0,62";"0,0";"5,62";"3930,88";"137,96";"668,75";"309,12";"27,25";"92,38";"4,38";"401,5";"31,62";"45,88";"2,5";"35,0";"5,62";"1,75";"0,38";"17,5";"3901,08";"130,04";"556,82";"232,85";"23,52";"102,46";"4,83";"335,31";"28,34";"38,63";"2,52";"29,18";"4,83";"1,05";"0,0";"9,45";"4138,67";"137,96";"704,1";"325,47";"28,69";"97,26";"4,61";"422,72";"33,3";"48,3";"2,63";"36,85";"5,92";"1,84";"0,39";"18,43";"0,49";"3,07";"29,93"
"Teemu Pukki";"T. Pukki";"10227";"1990-03-29";"HJK Helsinki";"429";"FIN - Veikkausliiga";"323";"2025/2025";"128";"Center Forward";"76,23";"43,48";"24,09";"19,39";"22";"2";"8796,27";"115,38";"1243,36";"579,55";"62,32";"297,09";"15,95";"876,64";"78,27";"30,74";"32,26";"90,91";"6,86";"72,95";"16,82";"5,45";"0,64";"0,71";"2,5";"1,23";"1,59";"42,0";"1,79";"2,77";"10384,55";"115,38";"1467,87";"684,19";"73,57";"350,73";"18,84";"1034,92";"92,41";"107,32";"8,1";"86,13";"19,85";"6,44";"2,95";"49,58";"8776,09";"146,27";"1539,15";"732,41";"78,47";"379,69";"19,13";"1112,1";"97,6";"90,52";"6,4";"66,99";"13,36";"3422,23";"142,07";"562,41";"287,14";"32,23";"173,64";"8,59";"460,77";"40,82";"40,0";"3,05";"26,91";"5,23";"2,36";"1,14";"20,73";"2937,23";"151,48";"552,91";"243,59";"24,64";"101,5";"5,27";"345,09";"29,91";"25,59";"1,59";"21,64";"4,45";"0,77";"0,27";"17,77";"4262,18";"142,07";"700,45";"357,61";"40,14";"216,25";"10,7";"573,86";"50,84";"49,82";"3,79";"33,51";"6,51";"2,94";"1,42";"25,81";"4544,41";"151,48";"855,45";"376,88";"38,12";"157,04";"8,16";"533,92";"46,27";"39,59";"2,46";"33,48";"6,89";"1,2";"0,42";"27,5";"1,94";"4,33";"53,13"
"Teemu Pukki";"T. Pukki";"10227";"1990-03-29";"HJK Helsinki";"429";"FIN - Veikkausliiga";"323";"2026/2026";"130";"Center Forward";"71,25";"42,72";"22,98";"19,74";"7";"0";"8463,14";"118,78";"1164,14";"564,29";"59,86";"277,0";"15,0";"841,29";"74,86";"31,41";"31,66";"88,0";"7,14";"72,57";"14,43";"4,29";"0,69";"null";"0,71";"1,35";"null";"41,29";"2,18";"2,8";"10689,93";"118,78";"1470,45";"712,76";"75,61";"349,88";"18,95";"1062,64";"94,55";"111,15";"9,02";"91,67";"18,22";"5,41";"0,9";"52,15";"8780,89";"146,35";"1463,72";"724,13";"77,05";"352,34";"18,66";"1076,47";"95,71";"90,09";"5,82";"67,22";"11,64";"3225,29";"140,35";"505,86";"281,0";"31,0";"179,0";"8,57";"460,0";"39,57";"36,0";"2,86";"24,43";"4,43";"1,43";"0,43";"19,71";"3026,57";"153,34";"536,29";"234,57";"23,86";"71,86";"4,71";"306,43";"28,57";"28,14";"1,29";"23,43";"3,86";"0,71";"0,0";"18,57";"4210,38";"140,35";"660,36";"366,83";"40,47";"233,67";"11,19";"600,5";"51,66";"47,0";"3,73";"31,89";"5,78";"1,86";"0,56";"25,74";"4600,1";"153,34";"815,1";"356,53";"36,26";"109,22";"7,17";"465,74";"43,43";"42,77";"1,95";"35,61";"5,86";"1,09";"0,0";"28,23";"0,6";"3,01";"53,77"
"Kasim Adams Nuhu";"K. Adams";"12753";"1995-06-22";"Kuopion Palloseura";"5912";"FIN - Veikkausliiga";"323";"2026/2026";"130";"Central Defender";"95,97";"59,62";"35,58";"24,04";"5";"1";"10190,8";"106,19";"1251,4";"402,6";"35,8";"114,0";"5,0";"516,6";"40,8";"28,8";"28,8";"113,2";"4,6";"97,0";"10,8";"2,8";"0,78";"null";"0,4";"null";"null";"19,4";"2,15";"null";"9556,86";"106,19";"1173,55";"377,56";"33,57";"106,91";"4,69";"484,46";"38,26";"106,16";"4,31";"90,97";"10,13";"2,63";"0,38";"18,19";"7643,21";"127,39";"1076,42";"348,61";"30,59";"103,05";"4,63";"451,66";"35,22";"80,51";"2,62";"68,43";"6,04";"4194,6";"117,89";"452,0";"111,6";"9,4";"27,0";"1,2";"138,6";"10,6";"37,0";"1,0";"35,0";"2,6";"0,6";"0,0";"7,0";"3400,2";"141,44";"617,6";"234,8";"21,0";"75,4";"3,4";"310,2";"24,4";"43,0";"1,6";"33,0";"3,4";"0,6";"0,2";"11,6";"3536,76";"117,89";"381,11";"94,1";"7,93";"22,77";"1,01";"116,86";"8,94";"31,2";"0,84";"29,51";"2,19";"0,51";"0,0";"5,9";"4243,18";"141,44";"770,72";"293,01";"26,21";"94,09";"4,24";"387,1";"30,45";"53,66";"2,0";"41,18";"4,24";"0,75";"0,25";"14,48";"0,2";"1,21";"18,72"
